category	library_type	grouped_by	metric_name	count_metric_name
Library	Antibody Capture	Physical library ID	Fraction antibody reads	Antibody: Fraction Antibody Reads
Library	Antibody Capture	Physical library ID	Fraction antibody reads in aggregate barcodes	Antibody: Fraction Antibody Reads in Aggregate Barcodes
Library	Antibody Capture	Physical library ID	Fraction antibody reads usable	Antibody: Fraction Antibody Reads Usable
Library	Antibody Capture	Physical library ID	Fraction reads in cells	Antibody: Antibody Reads Usable per Cell
Library	Antibody Capture	Physical library ID	Fraction unrecognized antibody	Antibody: Fraction Unrecognized Antibody
Library	Antibody Capture	Physical library ID	Mean reads per cell	Antibody: Mean Reads per Cell
Library	Antibody Capture	Physical library ID	Number of reads	Antibody: Number of Reads
Library	Antibody Capture	Fastq ID	Q30 RNA read	Antibody: Q30 Bases in Antibody Read
Library	Antibody Capture	Fastq ID	Q30 UMI	Antibody: Q30 Bases in UMI
Library	Antibody Capture	Fastq ID	Q30 barcodes	Antibody: Q30 Bases in Barcode
Library	Antibody Capture	Physical library ID	Sequencing saturation	Antibody: Sequencing Saturation
Library	Antibody Capture	Physical library ID	Valid barcodes	Antibody: Valid Barcodes
Library	Gene Expression	Physical library ID	Confidently mapped antisense	Reads Mapped Antisense to Gene
Library	Gene Expression	Physical library ID	Confidently mapped to exonic regions	Reads Mapped Confidently to Exonic Regions
Library	Gene Expression	Physical library ID	Confidently mapped to genome	Reads Mapped Confidently to Genome
Library	Gene Expression	Physical library ID	Confidently mapped to intergenic regions	Reads Mapped Confidently to Intergenic Regions
Library	Gene Expression	Physical library ID	Confidently mapped to intronic regions	Reads Mapped Confidently to Intronic Regions
Library	Gene Expression	Physical library ID	Confidently mapped to transcriptome	Reads Mapped Confidently to Transcriptome
Library	Gene Expression	Physical library ID	Estimated number of cells	Estimated Number of Cells
Library	Gene Expression	Physical library ID	Mapped to genome	Reads Mapped to Genome
Library	Gene Expression	Physical library ID	Mean reads per cell	Mean Reads per Cell
Library	Gene Expression	Physical library ID	Number of reads	Number of Reads
Library	Gene Expression	Fastq ID	Q30 RNA read	Q30 Bases in RNA Read
Library	Gene Expression	Fastq ID	Q30 UMI	Q30 Bases in UMI
Library	Gene Expression	Fastq ID	Q30 barcodes	Q30 Bases in Barcode
Library	Gene Expression	Physical library ID	Sequencing saturation	Sequencing Saturation
Library	Gene Expression	Physical library ID	Valid barcodes	Valid Barcodes
Library	VDJ B	Physical library ID	Estimated number of cells	Estimated Number of Cells
Library	VDJ B	Physical library ID	Fraction reads in cells	Fraction Reads in Cells
Library	VDJ B	Physical library ID	Mean reads per cell	Mean Read Pairs per Cell
Library	VDJ B	Physical library ID	Mean used reads per cell	Mean Used Read Pairs per Cell
Library	VDJ B	Fastq ID	Number of reads	Number of Read Pairs
Library	VDJ B	Fastq ID	Q30 RNA read	Q30 Bases in RNA Read 1
Library	VDJ B	Fastq ID	Q30 RNA read 2	Q30 Bases in RNA Read 2
Library	VDJ B	Fastq ID	Q30 UMI	Q30 Bases in UMI
Library	VDJ B	Fastq ID	Q30 barcodes	Q30 Bases in Barcode
Library	VDJ B	Physical library ID	Reads mapped to IGH	Reads Mapped to IGH
Library	VDJ B	Physical library ID	Reads mapped to IGK	Reads Mapped to IGK
Library	VDJ B	Physical library ID	Reads mapped to IGL	Reads Mapped to IGL
Library	VDJ B	Physical library ID	Reads mapped to any V(D)J gene	Reads Mapped to Any V(D)J Gene
Library	VDJ B	Physical library ID	Valid barcodes	Valid Barcodes
Library	VDJ T	Physical library ID	Estimated number of cells	Estimated Number of Cells
Library	VDJ T	Physical library ID	Fraction reads in cells	Fraction Reads in Cells
Library	VDJ T	Physical library ID	Mean reads per cell	Mean Read Pairs per Cell
Library	VDJ T	Physical library ID	Mean used reads per cell	Mean Used Read Pairs per Cell
Library	VDJ T	Physical library ID	Number of reads	Number of Read Pairs
Library	VDJ T	Fastq ID	Q30 RNA read	Q30 Bases in RNA Read 1
Library	VDJ T	Fastq ID	Q30 RNA read 2	Q30 Bases in RNA Read 2
Library	VDJ T	Fastq ID	Q30 UMI	Q30 Bases in UMI
Library	VDJ T	Fastq ID	Q30 barcodes	Q30 Bases in Barcode
Library	VDJ T	Physical library ID	Reads mapped to TRA	Reads Mapped to TRA
Library	VDJ T	Physical library ID	Reads mapped to TRB	Reads Mapped to TRB
Library	VDJ T	Physical library ID	Reads mapped to any V(D)J gene	Reads Mapped to Any V(D)J Gene
Library	VDJ T	Physical library ID	Valid barcodes	Valid Barcodes
Library	ATAC	Physical library ID	Estimated number of cells	Estimated number of cells
Library	ATAC	Physical library ID	Feature linkages detected	Feature linkages detected
Library	ATAC	Physical library ID	Linked genes	Linked genes
Library	ATAC	Physical library ID	Linked peaks	Linked peaks
Library	ATAC	Physical library ID	Confidently mapped read pairs	ATAC Confidently mapped read pairs
Library	ATAC	Physical library ID	Fraction of genome in peaks	ATAC Fraction of genome in peaks
Library	ATAC	Physical library ID	Fraction of high-quality fragments in cells	ATAC Fraction of high-quality fragments in cells
Library	ATAC	Physical library ID	Fraction of high-quality fragments overlapping TSS	ATAC Fraction of high-quality fragments overlapping TSS
Library	ATAC	Physical library ID	Fraction of high-quality fragments overlapping peaks	ATAC Fraction of high-quality fragments overlapping peaks
Library	ATAC	Physical library ID	Fraction of transposition events in peaks in cells	ATAC Fraction of transposition events in peaks in cells
Library	ATAC	Physical library ID	Mean raw read pairs per cell	ATAC Mean raw read pairs per cell
Library	ATAC	Physical library ID	Median high-quality fragments per cell	ATAC Median high-quality fragments per cell
Library	ATAC	Physical library ID	Non-nuclear read pairs	ATAC Non-nuclear read pairs
Library	ATAC	Physical library ID	Number of peaks	ATAC Number of peaks
Library	ATAC	Physical library ID	Percent duplicates	ATAC Percent duplicates
Library	ATAC	Physical library ID	Q30 bases in barcode	ATAC Q30 bases in barcode
Library	ATAC	Physical library ID	Q30 bases in read 1	ATAC Q30 bases in read 1
Library	ATAC	Physical library ID	Q30 bases in read 2	ATAC Q30 bases in read 2
Library	ATAC	Physical library ID	Q30 bases in sample index i1	ATAC Q30 bases in sample index i1
Library	ATAC	Physical library ID	Sequenced read pairs	ATAC Sequenced read pairs
Library	ATAC	Physical library ID	TSS enrichment score	ATAC TSS enrichment score
Library	ATAC	Physical library ID	Unmapped read pairs	ATAC Unmapped read pairs
Library	ATAC	Physical library ID	Valid barcodes	ATAC Valid barcodes
Library	Gene Expression	Physical library ID	Estimated number of cells	Estimated number of cells
Library	Gene Expression	Physical library ID	Fraction of transcriptomic reads in cells	GEX Fraction of transcriptomic reads in cells
Library	Gene Expression	Physical library ID	Mean reads per cell	GEX Mean raw reads per cell
Library	Gene Expression	Physical library ID	Median UMI counts per cell	GEX Median UMI counts per cell
Library	Gene Expression	Physical library ID	Median genes per cell	GEX Median genes per cell
Library	Gene Expression	Physical library ID	Percent duplicates	GEX Percent duplicates
Library	Gene Expression	Physical library ID	Q30 bases in UMI	GEX Q30 bases in UMI
Library	Gene Expression	Physical library ID	Q30 bases in barcode	GEX Q30 bases in barcode
Library	Gene Expression	Physical library ID	Q30 bases in read 2	GEX Q30 bases in read 2
Library	Gene Expression	Physical library ID	Q30 bases in sample index i1	GEX Q30 bases in sample index i1
Library	Gene Expression	Physical library ID	Q30 bases in sample index i2	GEX Q30 bases in sample index i2
Library	Gene Expression	Physical library ID	Reads mapped antisense to gene	GEX Reads mapped antisense to gene
Library	Gene Expression	Physical library ID	Reads mapped confidently to exonic regions	GEX Reads mapped confidently to exonic regions
Library	Gene Expression	Physical library ID	Reads mapped confidently to genome	GEX Reads mapped confidently to genome
Library	Gene Expression	Physical library ID	Reads mapped confidently to intergenic regions	GEX Reads mapped confidently to intergenic regions
Library	Gene Expression	Physical library ID	Reads mapped confidently to intronic regions	GEX Reads mapped confidently to intronic regions
Library	Gene Expression	Physical library ID	Reads mapped confidently to transcriptome	GEX Reads mapped confidently to transcriptome
Library	Gene Expression	Physical library ID	Reads mapped to genome	GEX Reads mapped to genome
Library	Gene Expression	Physical library ID	Reads with TSO	GEX Reads with TSO
Library	Gene Expression	Physical library ID	Sequenced read pairs	GEX Sequenced read pairs
Library	Gene Expression	Physical library ID	Total genes detected	GEX Total genes detected
Library	Gene Expression	Physical library ID	Valid UMIs	GEX Valid UMIs
Library	Gene Expression	Physical library ID	Valid barcodes	GEX Valid barcodes
