	gene_name	cc_phase
0	Mcm5	s
1	Pcna	s
2	Tyms	s
3	Fen1	s
4	Mcm2	s
5	Mcm4	s
6	Rrm1	s
7	Ung	s
8	Gins2	s
9	Mcm6	s
10	Cdca7	s
11	Dtl	s
12	Prim1	s
13	Uhrf1	s
14	Mlf1ip	s
15	Hells	s
16	Rfc2	s
17	Rpa2	s
18	Nasp	s
19	Rad51ap1	s
20	Gmnn	s
21	Wdr76	s
22	Slbp	s
23	Ccne2	s
24	Ubr7	s
25	Pold3	s
26	Msh2	s
27	Atad2	s
28	Rad51	s
29	Rrm2	s
30	Cdc45	s
31	Cdc6	s
32	Exo1	s
33	Tipin	s
34	Dscc1	s
35	Blm	s
36	Casp8ap2	s
37	Usp1	s
38	Clspn	s
39	Pola1	s
40	Chaf1b	s
41	Brip1	s
42	E2f8	s
43	Hmgb2	g2m
44	Cdk1	g2m
45	Nusap1	g2m
46	Ube2c	g2m
47	Birc5	g2m
48	Tpx2	g2m
49	Top2a	g2m
50	Ndc80	g2m
51	Cks2	g2m
52	Nuf2	g2m
53	Cks1b	g2m
54	Mki67	g2m
55	Tmpo	g2m
56	Cenpf	g2m
57	Tacc3	g2m
58	Fam64a	g2m
59	Smc4	g2m
60	Ccnb2	g2m
61	Ckap2l	g2m
62	Ckap2	g2m
63	Aurkb	g2m
64	Bub1	g2m
65	Kif11	g2m
66	Anp32e	g2m
67	Tubb4b	g2m
68	Gtse1	g2m
69	Kif20b	g2m
70	Hjurp	g2m
71	Cdca3	g2m
72	Hn1	g2m
73	Cdc20	g2m
74	Ttk	g2m
75	Cdc25c	g2m
76	Kif2c	g2m
77	Rangap1	g2m
78	Ncapd2	g2m
79	Dlgap5	g2m
80	Cdca2	g2m
81	Cdca8	g2m
82	Ect2	g2m
83	Kif23	g2m
84	Hmmr	g2m
85	Aurka	g2m
86	Psrc1	g2m
87	Anln	g2m
88	Lbr	g2m
89	Ckap5	g2m
90	Cenpe	g2m
91	Ctcf	g2m
92	Nek2	g2m
93	G2e3	g2m
94	Gas2l3	g2m
95	Cbx5	g2m
96	Cenpa	g2m
