gene_name	gene_group
ABCB1	MarkersB_P_PB
AICDA	MarkersB_P_PB
BACH2	MarkersB_P_PB
BANK1	MarkersB_P_PB
BLK	MarkersB_P_PB
BSG	MarkersB_P_PB
CCDC88B	MarkersB_P_PB
CCL25	MarkersB_P_PB
CCR1	MarkersB_P_PB
CCR10	MarkersB_P_PB
CCR2	MarkersB_P_PB
CCR6	MarkersB_P_PB
CCR7	MarkersB_P_PB
CCR9	MarkersB_P_PB
CD19	MarkersB_P_PB
CD1D	MarkersB_P_PB
CD200	MarkersB_P_PB
CD22	MarkersB_P_PB
CD23	MarkersB_P_PB
CD24	MarkersB_P_PB
CD27	MarkersB_P_PB
CD37	MarkersB_P_PB
CD38	MarkersB_P_PB
CD40	MarkersB_P_PB
CD40LG	MarkersB_P_PB
CD5	MarkersB_P_PB
CD69	MarkersB_P_PB
CD74	MarkersB_P_PB
CD79A	MarkersB_P_PB
CD79B	MarkersB_P_PB
CD9	MarkersB_P_PB
CDK1	MarkersB_P_PB
CDK14	MarkersB_P_PB
CDKN2A	MarkersB_P_PB
CDKN3	MarkersB_P_PB
CLEC1	MarkersB_P_PB
CR2	MarkersB_P_PB
CXCR3	MarkersB_P_PB
CXCR4	MarkersB_P_PB
CXCR5	MarkersB_P_PB
CXCR6	MarkersB_P_PB
DERL3	MarkersB_P_PB
FCER2	MarkersB_P_PB
FCMR	MarkersB_P_PB
FCRL1	MarkersB_P_PB
FCRL2	MarkersB_P_PB
FCRL3	MarkersB_P_PB
FCRL4	MarkersB_P_PB
FCRL5	MarkersB_P_PB
FCRLA	MarkersB_P_PB
FLT3	MarkersB_P_PB
GPR183	MarkersB_P_PB
HLA-DMA	MarkersB_P_PB
HLA-DMB	MarkersB_P_PB
HLA-DOB	MarkersB_P_PB
HLA-DPA1	MarkersB_P_PB
HLA-DPB1	MarkersB_P_PB
HLA-DQA1	MarkersB_P_PB
HLA-DQA2	MarkersB_P_PB
HLA-DQB1	MarkersB_P_PB
HLA-DQB2	MarkersB_P_PB
