gene_id	gene_name	status
ENSG00000276674	IGKV1OR1-1	exclude
ENSG00000233999	IGKV3OR2-268	exclude
ENSG00000211593	IGKJ5	exclude
ENSG00000211594	IGKJ4	exclude
ENSG00000211595	IGKJ3	exclude
ENSG00000211596	IGKJ2	exclude
ENSG00000211597	IGKJ1	exclude
ENSG00000211598	IGKV4-1	exclude
ENSG00000211599	IGKV5-2	exclude
ENSG00000197794	IGKV7-3	exclude
ENSG00000253435	IGKV2-4	exclude
ENSG00000243466	IGKV1-5	exclude
ENSG00000239855	IGKV1-6	exclude
ENSG00000243063	IGKV3-7	exclude
ENSG00000240671	IGKV1-8	exclude
ENSG00000241755	IGKV1-9	exclude
ENSG00000253278	IGKV2-10	exclude
ENSG00000241351	IGKV3-11	exclude
ENSG00000243290	IGKV1-12	exclude
ENSG00000253497	IGKV1-13	exclude
ENSG00000253265	IGKV2-14	exclude
ENSG00000244437	IGKV3-15	exclude
ENSG00000240864	IGKV1-16	exclude
ENSG00000240382	IGKV1-17	exclude
ENSG00000254157	IGKV2-18	exclude
ENSG00000253732	IGKV2-19	exclude
ENSG00000239951	IGKV3-20	exclude
ENSG00000211611	IGKV6-21	exclude
ENSG00000253578	IGKV1-22	exclude
ENSG00000253625	IGKV2-23	exclude
ENSG00000241294	IGKV2-24	exclude
ENSG00000253202	IGKV3-25	exclude
ENSG00000254098	IGKV2-26	exclude
ENSG00000244575	IGKV1-27	exclude
ENSG00000244116	IGKV2-28	exclude
ENSG00000253998	IGKV2-29	exclude
ENSG00000243238	IGKV2-30	exclude
ENSG00000253158	IGKV3-31	exclude
ENSG00000253870	IGKV1-32	exclude
ENSG00000242076	IGKV1-33	exclude
ENSG00000253860	IGKV3-34	exclude
ENSG00000253461	IGKV1-35	exclude
ENSG00000253487	IGKV2-36	exclude
ENSG00000239862	IGKV1-37	exclude
ENSG00000253592	IGKV2-38	exclude
ENSG00000242371	IGKV1-39	exclude
ENSG00000273962	IGKV2-40	exclude
ENSG00000251039	IGKV2D-40	exclude
ENSG00000251546	IGKV1D-39	exclude
ENSG00000254009	IGKV2D-38	exclude
ENSG00000250036	IGKV1D-37	exclude
ENSG00000253127	IGKV2D-36	exclude
ENSG00000232747	IGKV1D-35	exclude
ENSG00000253501	IGKV3D-34	exclude
ENSG00000239975	IGKV1D-33	exclude
ENSG00000253191	IGKV1D-32	exclude
ENSG00000253999	IGKV3D-31	exclude
ENSG00000239571	IGKV2D-30	exclude
ENSG00000243264	IGKV2D-29	exclude
ENSG00000242534	IGKV2D-28	exclude
ENSG00000224607	IGKV1D-27	exclude
ENSG00000211623	IGKV2D-26	exclude
ENSG00000254097	IGKV3D-25	exclude
ENSG00000241566	IGKV2D-24	exclude
