mod,feature,group
rna,ANXA1,MarkersNeutro
rna,ARG1,MarkersNeutro
rna,BPI,MarkersNeutro
rna,CD101,MarkersNeutro
rna,CD24,MarkersNeutro
rna,CD274,MarkersNeutro
rna,CSF3R,MarkersNeutro
rna,CXCL8,MarkersNeutro
rna,DEFA3,MarkersNeutro
rna,DEFA4,MarkersNeutro
rna,DUSP1,MarkersNeutro
rna,EGR1,MarkersNeutro
rna,ELANE,MarkersNeutro
rna,FCGR3B,MarkersNeutro
rna,FTH1,MarkersNeutro
rna,G0S2,MarkersNeutro
rna,IFIT3,MarkersNeutro
rna,IFITM3,MarkersNeutro
rna,IL3RA,MarkersNeutro
rna,ISG15,MarkersNeutro
rna,ITGAM,MarkersNeutro
rna,KLF4,MarkersNeutro
rna,LCN2,MarkersNeutro
rna,LTF,MarkersNeutro
rna,LY6E,MarkersNeutro
rna,MKI67,MarkersNeutro
rna,MMP8,MarkersNeutro
rna,MPO,MarkersNeutro
rna,NEAT1,MarkersNeutro
rna,PADI4,MarkersNeutro
rna,PRTN3,MarkersNeutro
rna,PTMA,MarkersNeutro
rna,RETN,MarkersNeutro
rna,RPL5,MarkersNeutro
rna,S100A4,MarkersNeutro
rna,S100A8,MarkersNeutro
rna,S100A9,MarkersNeutro
rna,TCN1,MarkersNeutro
rna,TNFAIP2,MarkersNeutro
rna,TXN,MarkersNeutro
rna,HBA1,hb
rna,HBA2,hb
rna,HBB,hb
rna,HBD,hb
rna,HBE1,hb
rna,HBG1,hb
rna,HBG2,hb
rna,HBM,hb
rna,HBQ1,hb
rna,HBZ,hb
rna,IGKV1OR1-1,exclude
rna,IGKV3OR2-268,exclude
rna,IGKJ5,exclude
rna,IGKJ4,exclude
rna,IGKJ3,exclude
rna,IGKJ2,exclude
rna,IGKJ1,exclude
rna,IGKV4-1,exclude
rna,IGKV5-2,exclude
rna,IGKV7-3,exclude
rna,IGKV2-4,exclude
rna,IGKV1-5,exclude
rna,IGKV1-6,exclude
rna,IGKV3-7,exclude
rna,IGKV1-8,exclude
rna,IGKV1-9,exclude
rna,IGKV2-10,exclude
rna,IGKV3-11,exclude
rna,IGKV1-12,exclude
rna,IGKV1-13,exclude
rna,IGKV2-14,exclude
rna,IGKV3-15,exclude
rna,IGKV1-16,exclude
rna,IGKV1-17,exclude
rna,IGKV2-18,exclude
rna,IGKV2-19,exclude
rna,IGKV3-20,exclude
rna,IGKV6-21,exclude
rna,IGKV1-22,exclude
rna,IGKV2-23,exclude
rna,IGKV2-24,exclude
rna,IGKV3-25,exclude
rna,IGKV2-26,exclude
rna,IGKV1-27,exclude
rna,IGKV2-28,exclude
rna,IGKV2-29,exclude
rna,IGKV2-30,exclude
rna,IGKV3-31,exclude
rna,IGKV1-32,exclude
rna,IGKV1-33,exclude
rna,IGKV3-34,exclude
rna,IGKV1-35,exclude
rna,IGKV2-36,exclude
rna,IGKV1-37,exclude
rna,IGKV2-38,exclude
rna,IGKV1-39,exclude
rna,IGKV2-40,exclude
rna,IGKV2D-40,exclude
rna,IGKV1D-39,exclude
rna,IGKV2D-38,exclude
rna,IGKV1D-37,exclude
rna,IGKV2D-36,exclude
rna,IGKV1D-35,exclude
rna,IGKV3D-34,exclude
rna,IGKV1D-33,exclude
rna,IGKV1D-32,exclude
rna,IGKV3D-31,exclude
rna,IGKV2D-30,exclude
rna,IGKV2D-29,exclude
rna,IGKV2D-28,exclude
rna,IGKV1D-27,exclude
rna,IGKV2D-26,exclude
rna,IGKV3D-25,exclude
rna,IGKV2D-24,exclude
rna,IGKV2D-23,exclude
rna,IGKV1D-22,exclude
rna,IGKV6D-21,exclude
rna,IGKV3D-20,exclude
rna,IGKV2D-19,exclude
rna,IGKV2D-18,exclude
